_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业,页数
5d43ed8051eceec5c3085176,懒人科技,50-150人,数据分析,2019-08-01,深圳,本科,数据分析师,"朝阳产业,牛人聚集,团队和谐",经验3-5年,15k-25k,不需要融资,移动互联网,7
5d43ed8051eceec5c3085177,一加手机,500-2000人,数据分析,2019-08-0209:21:00,深圳,本科,数据分析师,"开放的环境,成长空间,福利丰富,扁平架构",经验3-5年,15k-20k,未融资,硬件,7
5d43ed8051eceec5c3085178,字节跳动,2000人以上,数据分析,2019-08-01,深圳,本科,数据分析师,六险一金，餐补，带薪休假，扁平管理,经验3-5年,8k-15k,C轮,文娱丨内容,7
5d43ed8151eceec5c3085179,希为科技,50-150人,数据分析,2019-07-31,深圳,本科,数据分析师,"技术领先,14薪,团队优秀",经验3-5年,15k-25k,不需要融资,"企业服务,金融",7
5d43ed8151eceec5c308517a,路通网络,500-2000人,数据分析,2019-08-0215:08:00,深圳,本科,数据分析专员,"年内两加薪,年内两晋升,五险又双休",经验不限,8k-16k,不需要融资,"移动互联网,游戏",7
5d43ed8151eceec5c308517b,壹办公科技,150-500人,数据分析,2019-08-0211:32:00,深圳,不限,大数据分析师,周末双休下午茶五险一金法定节假日舒适环境,经验1-3年,12k-22k,上市公司,"移动互联网,电商",7
5d43ed8151eceec5c308517c,数位科技,150-500人,数据分析,2019-08-01,深圳,本科,数据分析师,"14薪起,股票期权,大牛团队,技术氛围好",经验5-10年,25k-50k,B轮,企业服务,7
5d43ed8151eceec5c308517d,平安人寿,2000人以上,数据分析,2019-08-01,深圳,本科,0222JM-数据分析师,"五险一金,绩效奖金,节日福利,定期体检",经验1-3年,1k-1k,上市公司,金融,7
5d43ed8251eceec5c308517e,微创软件,2000人以上,数据分析,2019-07-30,深圳,本科,数据分析（赴腾讯）,五险一金；班车接送；免费早餐,经验3-5年,8k-10k,不需要融资,"企业服务,移动互联网",7
5d43ed8251eceec5c308517f,海南新浪爱问普惠科技有限公司,500-2000人,数据分析,2019-08-0211:25:00,深圳,本科,数据分析师,年终奖 五险一金 体检 带薪年假,经验3-5年,15k-30k,未融资,金融,7
5d43ed8351eceec5c3085180,一面数据,50-150人,数据分析,2019-08-0210:26:00,深圳,本科,数据分析师(商业方向，初级）,大数据人工智能；名校系大牛；技术氛围浓,经验1年以下,8k-15k,A轮,"移动互联网,数据服务",8
5d43ed8451eceec5c3085181,字节跳动,2000人以上,数据分析,2019-08-01,深圳,本科,数据分析师,六险一金，弹性工作，免费三餐，餐补,经验1-3年,15k-30k,C轮,文娱丨内容,8
5d43ed8451eceec5c3085182,吉比特,500-2000人,数据分析,2019-08-01,深圳,本科,数据分析师（挖掘方向）,"上市公司,平台大,福利好,发展空间大",经验3-5年,15k-25k,上市公司,游戏,8
5d43ed8451eceec5c3085183,健康160（原就医160）,500-2000人,数据分析,2019-08-0214:03:00,深圳,本科,数据分析师,扁平化管理 团队氛围好,经验1-3年,12k-24k,上市公司,移动互联网,8
5d43ed8451eceec5c3085184,懒人听书,150-500人,数据分析,2019-08-0209:46:00,深圳,本科,数据分析专员,"工作氛围好,成长空间大",经验1-3年,8k-10k,C轮,移动互联网,8
5d43ed8451eceec5c3085185,华策,50-150人,数据分析,2019-08-01,深圳,大专,数据分析师,"五险一金,年终奖,通讯补贴,绩效奖金",经验3-5年,10k-15k,未融资,移动互联网,8
5d43ed8451eceec5c3085186,平安智慧城,2000人以上,数据分析,2019-08-01,深圳,本科,4721EM-智慧法律-数据分析岗,"五险一金,带薪年假,节日福利,绩效奖金",经验3-5年,15k-30k,不需要融资,移动互联网,8
5d43ed8451eceec5c3085187,长亮科技,2000人以上,数据分析,2019-07-24,深圳,本科,数据分析,数据分析、信贷风险、风控预警,经验3-5年,15k-30k,上市公司,企业服务,8
5d43ed8551eceec5c3085188,阿卡索外教网,2000人以上,数据分析,2019-07-18,深圳,本科,数据分析师,扁平管理，领导nice,经验3-5年,12k-20k,C轮,"教育,移动互联网",8
5d43ed8551eceec5c3085189,闻善科技,50-150人,数据分析,2019-07-26,深圳,本科,数据分析师,稳定 不加班 行业权威,经验5-10年,15k-25k,不需要融资,"移动互联网,硬件",8
5d43ed8551eceec5c308518a,纵腾网络,500-2000人,数据分析,2019-07-16,深圳,本科,数据分析师,地铁周边、互联网、五险、......,经验1-3年,10k-15k,上市公司,"电商,移动互联网",8
5d43ed8551eceec5c308518b,腾讯,2000人以上,数据分析,2019-08-0212:59:00,深圳,本科,29912-数据分析-运营开发,平台大,经验1-3年,20k-40k,上市公司,社交,8
5d43ed8551eceec5c308518c,爱牙邦,150-500人,数据分析,2019-08-0214:54:00,深圳,本科,数据分析实习生,五险一金；节日福利；带薪年假；大小周制；,经验不限,2k-4k,B轮,"移动互联网,电商",8
5d43ed8551eceec5c308518d,加油宝,150-500人,数据分析,2019-07-31,深圳,本科,大数据产品经理/数据分析,数据分析 数据产品经理,经验3-5年,14k-28k,不需要融资,金融,8
