_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业
5d43ea9c51eceec5c30850e4,神州数码,500-2000人,数据分析,2019-07-19,上海,硕士,数据分析师,"上市公司,平台广阔,项目机会,机遇晋升",经验不限,8k-15k,上市公司,"硬件,数据服务"
5d43ea9c51eceec5c30850e5,拓端数据,少于15人,数据分析,2019-07-26,上海,本科,数据分析师,"弹性工作,零食茶点,丰富活动",经验1-3年,8K-12K,未融资,"数据服务,电商"
5d43ea9e51eceec5c30850e6,复漫,50-150人,数据分析,2019-08-0209:40:00,上海,大专,数据分析专员（电商方向）,五险一金 年终奖 带薪年假 高提成,经验1-3年,8k-12k,B轮,电商
5d43ea9e51eceec5c30850e7,o-IBP,15-50人,数据分析,2019-07-29,上海,本科,数据分析师,"晋升空间大,管理规范,扁平管理",经验3-5年,10k-20k,天使轮,"企业服务,数据服务"
5d43ea9e51eceec5c30850e8,永辉云创科技有限公司,2000人以上,数据分析,2019-08-0213:47:00,上海,本科,数据分析师实习生,待遇优、空间大、平台好,经验应届毕业生,4k-5k,D轮及以上,"电商,消费生活"
5d43ea9e51eceec5c30850e9,派兰数据,少于15人,数据分析,2019-07-08,上海,硕士,数据分析师,福利好 带薪年假 弹性工作 高能TEAM,经验不限,8k-15k,天使轮,"数据服务,医疗丨健康"
5d43ea9e51eceec5c30850ea,电视猫MoreTV,150-500人,数据分析,2019-07-23,上海,本科,数据分析产品经理,团队氛围好，快速成长,经验3-5年,18k-25k,B轮,"移动互联网,硬件"
5d43ea9e51eceec5c30850eb,欢聚时代（YY Inc）,2000人以上,数据分析,2019-07-12,上海,本科,风险数据分析师 (MJ001721),"福利多,平台大",经验3-5年,15k-30k,上市公司,文娱丨内容
5d43ea9f51eceec5c30850ec,拓端数据,少于15人,数据分析,2019-07-26,上海,本科,数据分析师,"弹性,高薪,自宅工作",经验1-3年,8K-10K,未融资,"数据服务,电商"
5d43ea9f51eceec5c30850ed,玳鸽,50-150人,数据分析,2019-07-23,上海,硕士,数据分析师,团建旅游 企业培训,经验1-3年,10k-18k,A轮,"企业服务,区块链"
5d43ea9f51eceec5c30850ee,上海青悦,少于15人,数据分析,2019-07-29,上海,本科,数据分析实习生,海量数据可供练习,经验不限,3k-5k,不需要融资,数据服务
5d43ea9f51eceec5c30850ef,HARB,50-150人,数据分析,2019-07-29,上海,本科,客户成功数据分析师,"发展空间大,管理扁平,弹性工作,福利好",经验1-3年,10k-15k,B轮,企业服务
5d43ea9f51eceec5c30850f0,英臻科技,50-150人,数据分析,2019-07-30,上海,本科,数据分析实习生,"团队年轻,在校实习",经验不限,3k-5k,A轮,硬件
