ISBN,_id,丛书,作者,关键词,出品方,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9787544752473,5d43b2db51eceec5c30800de,特德·姜科幻作品,,科幻,,2015-5,译林出版社,书籍,特德·姜科幻小说集,StoriesofYourLifeandOthers,你一生的故事,36.00元,精装,8.6,16437.0,李克勤,292
9787536460300,5d43b2e451eceec5c30800df,世界科幻大师丛书,哈尔·克莱蒙特,科幻,科幻世界,2006-8,四川科学技术出版社,书籍,世界科幻大师丛书,missionofgravity,重力使命,15.00元,简裝本,8.2,746.0,周玉佳,182
9787532412792,5d43b2e651eceec5c30800e0,,饶忠华主编,科幻,,1991-3,少年儿童出版社,书籍,,,365夜科幻故事（上、下册）,11.80元,平装,9.4,450.0,,上册638页下册670
9787559628237,5d43b2e651eceec5c30800e1,弗诺·文奇作品集,[美]弗诺·文奇,科幻,未读·文艺家,2019-6,未读·文艺家北京联合出版公司,书籍,弗诺·文奇的科幻世界与现代计算机网络的发展,TRUENAMESANDTHEOPENINGOFTHECYBERSPACEFRONTIER,真名实姓,49.8元,平装,8.9,168.0,李克勤,304
9787536482012,5d43b2e651eceec5c30800e2,科幻世界·中国科幻基石丛书,刘慈欣,科幻,科幻世界,2015-12-1,四川科学技术出版社,书籍,刘慈欣科幻随笔集,,最糟的宇宙，最好的地球,30.00元,平装,9.1,327.0,,325
9787536455511,5d43b2e751eceec5c30800e3,世界科幻大师丛书,（加）罗伯特•J•索耶,科幻,科幻世界,2005-2,四川科学技术出版社,书籍,世界科幻大师丛书,,金羊毛,17.00元,32开,8.0,579.0,,276
9787536452190,5d43b2e751eceec5c30800e4,世界科幻大师丛书,,科幻,科幻世界,2004-6-1,四川科技,书籍,世界科幻大师丛书,TheDoorintoSummer,进入盛夏之门,15.00元,平装,8.2,1013.0,顾备,239
9787535458650,5d43b2e751eceec5c30800e5,中国本土科幻经典,,科幻,,2012-9,长江文艺出版社,书籍,何夕科幻自选集,,六道众生,32.00元,平装,8.2,636.0,,351
9787559623980,5d43b2e751eceec5c30800e6,100：科幻之书,[英]阿瑟·克拉克,科幻,未读,2018-11,北京联合出版公司,书籍,100：科幻之书,TheBigBookofScienceFiction,I窃星,79.80,平装,9.0,112.0,秦鹏等,536
9787301169094,5d43b2e751eceec5c30800e7,同文馆·小历史,[英]亚当·罗伯茨,科幻,,2010-2,北京大学出版社,书籍,,,科幻小说史,45.00元,平装,7.9,366.0,马小悟,376
9787536458932,5d43b2e751eceec5c30800e8,世界科幻大师丛书,约翰.温德姆,科幻,科幻世界,2006-3,四川科学技术出版社,书籍,世界科幻大师丛书,,三尖树时代,16.00元,简裝本,7.8,887.0,魏惠琴,278
9787536480469,5d43b2e751eceec5c30800e9,世界科幻大师丛书,,科幻,科幻世界,2015-3,四川科学技术出版社,书籍,刘宇昆科幻佳作选,,杀敌算法,26.00元,平装,8.2,369.0,萧傲然,286
9789573900719,5d43b2e751eceec5c30800ea,倪匡科幻小說集,,科幻,,1981-10,遠景出版社,书籍,倪匡科幻小說集22,,眼睛,NT120,平装,7.9,902.0,,203
9787536466180,5d43b2e751eceec5c30800eb,世界科幻大师丛书,（美）弗诺·文奇,科幻,科幻世界,2009,四川科学技术出版社,书籍,世界科幻大师丛书,RainbowsEnd,彩虹尽头,28.00元,平装,7.9,716.0,张建光,425
